budget_imdb;rating_imdb;votes_imdb;director_imdb;popularity_imdb;wins;nominations;oscars_won;bin_oscar_nom;revenue
-1;8.0;2891;Josef von Sternberg;NaN;0;0;1;1;0
-1;6.8;30;Irvin Willat;NaN;0;0;0;0;0
390000;7.1;325;Victor Sjöström (as Victor Seastrom);NaN;0;0;0;0;390000
-1;4.8;26;Solomon Sir Jones;NaN;0;0;0;0;0
-1;7.0;253;Fred Guiol (as Fred L. Guiol);NaN;0;0;0;0;0
-1;5.7;780;Irving Cummings;NaN;0;4;1;1;0
-1;;;Tomiyasu Ikeda;NaN;0;0;0;0;0
-1;;;Ernst Lubitsch;NaN;0;4;1;1;0
-1;5.4;107;John Ford (uncredited);NaN;0;0;0;0;0
-1;;;Arch Heath;NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;Géza von Bolváry;NaN;0;0;0;0;0
-1;;;Ragnar Hyltén-Cavallius;NaN;0;0;0;0;0
1558000;6.2;5688;Harry Beaumont;NaN;0;2;1;1;1558000
-1;7.3;107;Jean Grémillon;NaN;0;0;0;0;0
-1;7.4;2531;Fritz Lang;NaN;0;0;0;0;0
-1;6.4;888;Alfred E. Green;NaN;2;2;1;1;0
-1;7.8;1157;Edmund Goulding;NaN;0;0;0;0;0
-1;6.6;424;Yasujirô Ozu;NaN;0;0;0;0;0
-1;5.1;7;Bradley Barker;NaN;0;0;0;0;0
-1;6.8;100;;NaN;0;0;0;0;0
-1;6.3;589;Frank Lloyd;NaN;0;2;1;1;0
-1;5.9;294;;NaN;0;0;0;0;0
-1;5.8;34;Kote Marjanishvili (as Kote Mardjanishvili);NaN;0;0;0;0;0
-1;5.6;243;Walt Disney (uncredited);NaN;0;0;0;0;0
-1;4.4;13;Paul Terry;NaN;0;0;0;0;0
-1;6.4;98;Castleton Knight;NaN;0;0;0;0;0
-1;5.7;9;Erle C. Kenton;NaN;0;0;0;0;0
-1;;;René Barberis;NaN;0;0;0;0;0
-1;8.1;53136;Lewis Milestone;NaN;5;5;2;1;0
-1;7.6;893;Thornton Freeland;NaN;0;0;0;0;0
-1;6.7;105;James W. Horne;NaN;0;0;0;0;0
-1;6.8;2412;Robert Z. Leonard (uncredited);NaN;0;3;1;1;0
-1;6.0;88;;NaN;0;0;0;0;0
-1;7.1;1609;;NaN;0;2;2;1;0
-1;5.5;33;Henry MacRae;NaN;0;0;0;0;0
-1;5.5;132;;NaN;0;0;0;0;0
-1;6.5;825;Archie Mayo;NaN;0;0;0;0;0
-1;7.2;860;John Murray Anderson;NaN;0;0;1;1;0
-1;5.9;225;Ub Iwerks (uncredited);NaN;0;0;0;0;0
-1;6.2;79;Marcel De Sano;NaN;0;0;0;0;0
-1;5.5;10;Monte Carter;NaN;0;0;0;0;0
-1;4.8;44;;NaN;0;0;0;0;0
-1;5.9;20;John P. McCarthy;NaN;0;0;0;0;0
-1;3.7;18;;NaN;0;0;0;0;0
-1;8.5;144235;Charles Chaplin;NaN;3;0;0;0;0
-1;6.6;126;Rowland Brown;NaN;0;0;0;0;0
1028960;7.6;4351;F.W. Murnau;NaN;2;0;1;1;1028960
-1;6.0;100;Hanns Schwarz;NaN;0;0;0;0;0
-1;6.7;673;Edgar Selwyn;NaN;5;3;1;1;0
-1;7.3;2426;King Vidor (uncredited);NaN;0;3;2;1;0
-1;7.0;41;Grace Elliott;NaN;0;0;0;0;0
-1;6.8;355;Mikio Naruse;NaN;0;0;0;0;0
-1;6.2;52;;NaN;0;0;0;0;0
-1;6.7;1984;Clarence Brown;NaN;0;2;1;1;0
-1;7.0;5;Mort Blumenstock;NaN;0;0;0;0;0
-1;6.5;103;Dave Fleischer;NaN;0;0;0;0;0
-1;6.3;599;Norman Taurog;NaN;0;3;1;1;0
-1;6.6;909;Frank Borzage;NaN;0;0;2;1;0
-1;6.6;960;William A. Wellman;NaN;0;0;0;0;0
-1;6.0;4727;Wesley Ruggles (uncredited);NaN;2;2;3;1;0
-1;6.7;575;Burt Gillett (uncredited);NaN;0;0;0;0;0
-1;;;Hans Steinhoff;NaN;0;0;0;0;0
-1;6.0;72;Victor Schertzinger;NaN;0;0;0;0;0
-1;7.4;284;Sam Taylor;NaN;0;0;0;0;0
1359000;7.5;15534;Edmund Goulding;NaN;0;0;1;1;1359000
-1;5.8;206;Thornton Freeland;NaN;0;0;0;0;0
-1;8.1;602;James Parrott;NaN;0;0;1;1;0
-1;7.7;11323;Rouben Mamoulian;NaN;2;2;1;1;0
-1;6.4;209;Lowell Sherman;NaN;0;0;0;0;0
-1;6.5;189;Sam Wood (uncredited);NaN;0;0;0;0;0
-1;7.1;559;Edward Buzzell (as Edduie Buzzell);NaN;0;0;0;0;0
-1;7.4;6446;Josef von Sternberg;NaN;0;2;1;1;0
-1;6.7;747;Raoul Walsh;NaN;0;0;0;0;0
-1;6.5;4364;Frank Borzage;NaN;1;1;2;1;0
-1;6.9;275;Wilfred Jackson;NaN;0;0;0;0;0
-1;4.6;14;;NaN;0;0;0;0;0
-1;5.9;104;Hugh Harman (uncredited);NaN;0;0;0;0;0
-1;6.7;1017;Roy Del Ruth;NaN;0;0;0;0;0
-1;6.4;242;Marion Gering;NaN;0;0;0;0;0
-1;6.3;218;Wilfred Jackson;NaN;0;0;0;0;0
-1;5.8;25;Harry L. Fraser (as Harry Fraser);NaN;0;0;0;0;0
17440000;6.0;3922;Frank Lloyd;NaN;3;7;3;1;17440000
-1;6.5;4911;Lowell Sherman;NaN;1;1;0;1;0
-1;7.2;151;Yu Sun;NaN;0;0;0;0;0
-1;7.2;921;Lloyd French;NaN;0;0;0;0;0
-1;7.1;277;Humberto Mauro;NaN;0;0;0;0;0
-1;7.5;740;John G. Adolfi;NaN;0;0;0;0;0
-1;7.3;5497;George Cukor;NaN;3;3;1;1;0
-1;7.2;3269;Alexander Korda;NaN;0;0;1;1;0
-1;7.5;4336;Burt Gillett (uncredited);NaN;0;0;1;1;0
-1;6.8;67;Joris Ivens;NaN;0;0;0;0;0
-1;6.7;216;Dave Fleischer;NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;6.9;54;E. Mason Hopper;NaN;0;0;0;0;0
-1;7.3;272;Julien Duvivier;NaN;0;0;0;0;0
-1;6.8;490;Wilfred Jackson (uncredited);NaN;0;0;0;0;0
-1;5.1;213;Charles Chauvel;NaN;0;0;0;0;0
-1;7.1;9;Franz Osten;NaN;0;0;0;0;0
-1;8.1;84012;Frank Capra;NaN;1;1;5;1;0
-1;7.8;1069;Charley Rogers (as Charles Rogers);NaN;0;0;0;0;0
-1;7.6;6159;Mark Sandrich;NaN;0;5;1;1;0
-1;6.5;408;Roy Del Ruth;NaN;0;0;0;0;0
-1;5.0;8;;NaN;0;0;0;0;0
-1;7.9;55;;NaN;0;0;0;0;0
-1;7.4;275;;NaN;0;0;0;0;0
-1;6.7;323;;NaN;0;0;0;0;0
-1;6.5;1029;;NaN;3;3;1;1;0
-1;7.2;326;;NaN;0;0;0;0;0
-1;6.0;167;Charles Reisner (as Charles F. Reisner);NaN;0;0;0;0;0
-1;6.7;84;Dave Fleischer;NaN;0;0;0;0;0
-1;6.1;59;Walter Lantz (uncredited);NaN;0;0;0;0;0
-1;6.9;3049;Cecil B. DeMille;NaN;0;4;1;1;0
-1;5.9;450;Victor Schertzinger;NaN;0;1;2;1;0
-1;6.4;84;Rudolf Ising (uncredited);NaN;0;0;0;0;0
-1;6.4;17;Lotte Reiniger;NaN;0;0;0;0;0
11351454;7.8;18812;Frank Lloyd;NaN;2;2;1;1;11351454
-1;7.5;5132;John Ford;NaN;6;6;4;1;0
-1;5.4;54;John S. Robertson (as John Robertson);NaN;0;0;0;0;0
-1;6.9;92;Douglas Sirk (as Detlef Sierck);NaN;0;0;0;0;0
-1;7.8;46394;Alfred Hitchcock;NaN;1;1;0;0;0
-1;6.8;1365;;NaN;0;2;1;1;0
-1;7.5;2261;Busby Berkeley;NaN;0;0;1;1;0
-1;4.9;7;Lau Lauritzen;NaN;0;0;0;0;0
-1;5.6;112;John S. Robertson (as John Robertson);NaN;0;0;0;0;0
-1;7.3;503;Ben Sharpsteen (uncredited);NaN;0;0;0;0;0
-1;6.2;120;Ralph Staub;NaN;0;0;0;0;0
-1;7.2;2323;Henry Hathaway;NaN;0;1;2;1;0
-1;6.8;624;Sidney Franklin (as Sidney A. Franklin);NaN;0;2;1;1;0
-1;7.0;2848;;NaN;0;2;2;1;0
-1;6.9;237;Ben Sharpsteen (uncredited);NaN;0;0;0;0;0
-1;6.6;220;;NaN;0;0;1;1;0
-1;6.3;53;Albert Parker;NaN;0;0;0;0;0
-1;6.6;80;Friz Freleng (as Isadore Freleng);NaN;0;0;0;0;0
-1;5.6;58;D. Ross Lederman;NaN;0;0;0;0;0
-1;6.1;272;Christy Cabanne;NaN;0;0;0;0;0
-1;6.1;30;Leo Mittler;NaN;0;0;0;0;0
13122717;7.3;4487;W.S. Van Dyke (uncredited);NaN;4;1;1;1;13122717
-1;7.1;4055;Michael Curtiz;NaN;0;3;1;1;0
-1;7.6;10873;George Stevens;NaN;0;1;1;1;0
-1;6.5;1446;;NaN;1;1;4;1;0
-1;4.8;9;A.W. Sandberg;NaN;0;0;0;0;0
-1;8.0;18026;Frank Capra;NaN;4;4;1;1;0
-1;7.2;631;Anatole Litvak;NaN;3;1;0;0;0
-1;8.1;719;William Wyler;NaN;2;2;1;1;0
-1;;;Martin Fric;NaN;0;0;0;0;0
-1;7.0;154;Richard Thorpe;NaN;0;0;0;0;0
-1;7.4;1961;William Dieterle;NaN;2;2;3;1;0
-1;7.5;2511;Jean Renoir;NaN;0;0;0;0;0
-1;6.8;2071;Michael Curtiz;NaN;0;0;0;0;0
-1;7.2;1851;Frank Borzage;NaN;0;0;0;0;0
-1;6.8;6336;Robert Z. Leonard;NaN;0;1;3;1;0
-1;7.0;1553;;NaN;0;0;1;1;0
-1;6.7;21;Igor Savchenko;NaN;0;0;0;0;0
-1;6.3;127;Louis King;NaN;0;0;0;0;0
-1;6.9;278;;NaN;0;0;0;0;0
-1;5.8;132;Gus Meins;NaN;0;0;0;0;0
-1;7.7;806;Ben Sharpsteen (uncredited);NaN;0;0;0;0;0
-1;5.7;35;Henri Diamant-Berger;NaN;0;0;0;0;0
-1;6.9;356;Marcel Varnel;NaN;0;0;0;0;0
-1;8.0;7865;Victor Fleming;NaN;2;1;1;1;0
-1;7.9;3065;Wilfred Jackson (uncredited);NaN;2;1;1;1;0
-1;7.9;16019;Leo McCarey;NaN;2;2;1;1;0
-1;7.6;1208;Eugene Forde;NaN;0;0;0;0;0
-1;7.8;1106;Frank Capra;NaN;1;1;2;1;0
-1;6.9;117;Len Lye;NaN;0;0;0;0;0
-1;6.9;1593;George Stevens;NaN;0;0;1;1;0
-1;7.5;4054;King Vidor;NaN;0;0;0;0;0
-1;7.3;2111;John Ford;NaN;0;2;1;1;0
-1;7.6;7502;;3094;2;2;1;1;0
-1;7.3;6213;William Dieterle;NaN;5;5;3;1;0
-1;7.3;1234;Eugene Forde;NaN;0;0;0;0;0
-1;6.0;509;Louis King;NaN;0;0;0;0;0
-1;6.9;824;Henry Koster;NaN;0;4;1;1;0
-1;6.2;12;Herbert Brenon;NaN;0;0;0;0;0
-1;6.0;147;Hamilton MacFadden;NaN;0;0;0;0;0
-1;6.5;55;Andrew L. Stone;NaN;0;0;0;0;0
-1;6.4;445;Frank Borzage;NaN;0;0;0;0;0
-1;6.1;239;Frank Tuttle;NaN;0;0;1;1;0
-1;5.9;478;Louis King;NaN;0;0;0;0;0
-1;7.7;4099;;NaN;2;2;2;1;0
11544247;8.0;21077;Frank Capra;NaN;0;7;2;1;11544247
-1;7.0;1729;Henry King;NaN;0;6;1;1;0
-1;8.0;43638;;NaN;3;3;3;1;0
